file_size_mb,total_elements,max_depth,processor_cores,best_parser,parsing_time,memory_usage,efficiency_score
319.75,3288,49,6,4,0.0961,351.73,2.83
46.94,30505,34,12,3,1.2196,61.02,13.47
404.73,861,50,4,2,0.4708,323.78,3.04
423.76,79141,18,2,1,1.2752,211.88,4.43
430.87,75684,14,16,2,1.2644,344.7,2.79
226.76,47829,12,6,2,1.6956,181.41,5.02
122.48,60599,26,6,4,0.3821,134.73,7.17
16.15,41357,27,6,3,1.0485,20.99,30.79
442.35,84269,31,4,4,0.6291,486.59,2.02
109.74,18141,34,8,4,0.1421,120.71,8.12
190.87,61358,35,6,4,0.4369,209.96,4.64
320.52,14631,20,8,4,0.7861,352.57,2.77
53.29,81969,21,16,4,1.3818,58.62,13.62
299.51,64052,3,2,2,2.8515,239.61,3.72
42.92,63709,6,12,4,0.6636,47.21,18.23
105.98,70696,50,16,4,0.7047,116.58,8.02
124.03,8402,23,2,4,1.3629,136.43,6.62
429.83,9297,34,4,4,0.4023,472.81,2.09
236.54,53364,14,2,2,2.9557,189.23,4.55
49.3,52782,48,6,1,0.979,24.65,28.22
437.26,9890,30,12,4,0.3928,480.99,2.06
203.27,63102,15,8,2,0.9987,162.62,5.76
348.33,95758,37,16,4,1.1346,383.16,2.53
28.68,76579,32,12,4,0.1485,31.55,29.38
430.92,52933,9,12,2,2.8172,344.74,2.67
102.21,93882,22,4,4,0.0635,112.43,8.77
310.62,73802,8,2,2,0.998,248.5,3.85
219.15,71210,47,6,1,1.3604,109.58,8.05
469.47,17611,18,2,4,1.0469,516.42,1.89
426.47,66254,33,6,1,1.5651,213.24,4.35
318.59,34345,12,16,2,0.6174,254.87,3.82
18.11,48403,39,12,3,1.7353,23.54,23.87
449.47,27545,45,4,4,1.3924,494.42,1.96
118.44,21309,13,8,4,1.2256,130.28,6.97
133.48,91927,8,8,4,1.2033,146.83,6.26
113.87,3111,44,4,4,1.0353,125.26,7.32
421.85,43414,3,2,2,1.1679,337.48,2.86
393.24,57209,40,12,4,1.2194,432.56,2.24
343.46,97258,49,16,1,0.3368,171.73,5.68
450.03,66479,21,16,4,1.0321,495.03,1.97
451.41,80686,38,6,4,0.5173,496.55,1.99
220.95,88565,15,12,2,1.9722,176.76,5.06
167.66,98463,17,16,4,1.1643,184.43,5.07
227.76,82554,38,4,4,1.2976,250.54,3.78
442.74,55734,16,4,1,0.3533,221.37,4.43
232.38,69626,37,12,1,1.823,116.19,7.38
223.01,20871,49,8,1,0.5546,111.5,8.47
219.99,93535,20,4,4,1.0743,241.99,3.94
32.21,53434,23,12,4,0.0783,35.43,26.87
440.34,75466,26,8,1,1.5203,220.17,4.23
273.11,79079,16,8,4,0.2893,300.42,3.29
233.75,16738,41,12,1,0.9772,116.88,7.83
25.24,49699,22,4,4,0.6613,27.76,28.27
417.47,61654,3,16,2,2.3119,333.98,2.79
474.81,26140,3,12,2,2.3473,379.85,2.47
83.98,79603,49,16,1,1.387,41.99,17.59
